HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0025253	Claustrophobia	幽闭恐惧症	An abnormal fear of being in a closed or narrow space with no escape.	校对中...
HP:0025254	Ameliorated by	因……而改善	An ameliorating factor is defined as an external factor that leads to a sign or symptom that is already present improving or becoming more bearable	校对中...
HP:0025255	Ameliorated by pregnancy	因妊娠而改善	Applies to a sign or symptom that is improved or made more bearable by pregnancy in a female.	校对中...
HP:0025256	Ameliorated by heat	因发热而改善	Applies to a sign or symptom that is improved or made more bearable by heat (including fever).	校对中...
HP:0025257	Ameliorated by carbohydrate ingestion	因食用碳水化合物而改善	Applies to a sign or symptom that is improved or made more bearable by eating or drinking carbohydrates including glucose (sugar).	校对中...
HP:0025258	Stiff neck	颈部僵硬	A sensation of tightness in the neck when attempting to move it, especially after a period of inactivity. Neck stiffness often involves soreness and difficulty moving the neck, especially when trying to turn the head to the side.	校对中...
HP:0025259	Stiff elbow	肘部僵硬	A sensation of tightness in the elbow joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025260	Stiff wrist	腕部僵硬	A sensation of tightness in the wrist joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025261	Stiff finger	手指僵硬	A sensation of tightness in a finger joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025262	Stiff hip	髋部僵硬	A sensation of tightness in the hip joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025263	Stiff knee	膝部僵硬	A sensation of tightness in the knee joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025264	Stiff ankle	踝部僵硬	A sensation of tightness in the ankle joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025265	Stiff toe	脚趾僵硬	A sensation of tightness in a toe joint when attempting to move it, especially after a period of inactivity.	校对中...
HP:0025266	Cervical osteoarthritis	颈椎骨关节炎	Degeneration (wear and tear) of the articular cartilage of the neck joints.	校对中...
HP:0025267	Snoring	打鼾	Deep, noisy breathing during sleep accompanied by hoarse or harsh sounds caused by the vibration of respiratory structures (especially the soft palate) resulting in sound due to obstructed air movement during breathing while sleeping.	校对中...
HP:0025268	Stuttering	口吃	Disruptions in the production of speech sounds, with involuntary repetitions of words or parts of words, prolongations of speech sounds, or complete blockage of speech production for several seconds.	校对中...
HP:0025269	Panic attack	惊恐发作（急性焦虑发作）	A sudden episode of intense fear in a situation in which there is no danger or apparent cause.	校对中...
HP:0025270	Abnormality of esophagus physiology	食管生理异常	Any physiological abnormality of the esophagus.	校对中...
HP:0025271	Esophageal spasms	食管痉挛	Involuntary contractions of the esophagus that are irregular, uncoordinated, and painful.	校对中...
HP:0025272	Melasma	黄褐斑	Symmetrical, blotchy, brownish facial pigmentation.	校对中...
HP:0025273	Achilles tendonitis	跟腱炎	Inflammation of the Achilles tendon.	校对中...
HP:0025274	Ovarian dermoid cyst	卵巢皮样囊肿	An cystic ovarian teratoma composed of dermal and epidermal elements and containing tissue components including hair, teeth, bone, thyroid, and others.	校对中...
HP:0025275	Lateral	侧面	Applies to an abnormality that is located farther from the median plane or midline of the body or of the referenced structure.	校对中...
HP:0025276	Abnormality of skin adnexa physiology	皮肤附属器异常	Any functional anomaly of the skin adnexa (skin appendages), which are specialized skin structures located within the dermis and focally within the subcutaneous fatty tissue, comprising three histologically distinct structures: (1) the pilosebaceous unit (hair follicle and sebaceous glands); (2) the eccrine sweat glands; and (3) the apocrine glands.	校对中...
HP:0025277	Gustatory sweating	味觉刺激出汗	Hyperhidrosis that occurs with gustatory stimulation (e.g., moisture on face from sweating that occurs after eating).	校对中...
HP:0025278	Cold-induced sweating	寒冷刺激出汗	Sweating provoked by cold temperature rather than by heat.	校对中...
HP:0025279	Migratory	游走性		
HP:0025280	Pain characteristic	疼痛的特征	A pain characteristic is defined as a subjective category or type of pain.	校对中...
HP:0025281	Sharp	尖锐	Applied to pain that is described as sharp, i.e., sudden and severe.	校对中...
HP:0025282	Dull	钝性	Applied to pain that is dull, i.e., not severe but that continues over a long period of time.	校对中...
HP:0025283	Tender	温柔的	Applied to pain that is tender, i.e., elicited by touching the affected body part.	校对中...
HP:0025284	Sleep-interrupting	使睡眠中断的	Applied to pain that wakes the affecting individual from sleep.	校对中...
HP:0025285	Aggravated by	因……而加剧的	An aggravating factor is defined as an external factor that leads to a sign or symptom that is already present getting worse or becoming more severe.	校对中...
HP:0025286	Aggravated by activity	因活动加剧	Applied to a sign or symptom that is aggravated by activity, exertion, or exercise.	校对中...
HP:0025287	Axial	轴性	Applies to an abnormality that is situated in the central part of the body, in the head and trunk as distinguished from the limbs.	校对中...
HP:0025289	Cervical lymphadenopathy	颈部淋巴结病变	Enlarged lymph nodes in the neck.	校对中...
HP:0025290	Upper-body predominance	上身优势	Applies to an abnormality that affects the arms, trunk, head more than the legs.	校对中...
HP:0025291	Lower-body predominance	下半身优势	Applies to an abnormality that affects the legs more than the arms, trunk, head.	校对中...
HP:0025292	Acral	肢端的	Applies to an abnormality that affects the distal portions of limbs (hand, foot) and head (ears, nose).	校对中...
HP:0025293	Distributed along Blaschko lines	沿Blashko线分布	Applies to an abnormality whose localization corresponds to the lines of Blaschko, which correspond to the lineage of epithelia cells. Blaschko lines are normally invisible but may become apparent with certain skin diseases and then can be seen to be distributed in lines horizontal to the body.	校对中...
HP:0025294	Dermatomal	皮肤片区的	Applies to an abnormality whose localization corresponds to the dermatomes, i.e., the nerve root distribution.	校对中...
HP:0025295	Herpetiform	疱疹样的	Applies to an abnormality whose distribution and appearance resembles that of the grouped umbilicated vesicles seen in herpes simplex and herpes zoster infections.	校对中...
HP:0025296	Morbilliform	麻疹样的	Applies to an abnormality whose distribution and appearance resembles that of measles, i.e., maculopapular lesions that are red and roughly 2 to 10 mm in diameter and may be partially confluent.	校对中...
HP:0025297	Prolonged	延长的	Applied to an abnormality whose duration is extended over a longer period of time than is expected or usual (e.g., prolonged fever lasts longer than one usually sees with an infection).	校对中...
HP:0025300	Malar rash	颧部皮疹	An erythematous (red), flat facial rash that affects the skin in the malar area (over the cheekbones) and extends over the bridge of the nose.	校对中...
HP:0025301	Nocturnal	夜间发作的	Applies to an abnormality that occurs in or is exacerbated during the night.	校对中...
HP:0025302	Diurnal	日间发作的	Applies to a sign, symptom, or other abnormality that occurs in or is exacerbated in the day time.	校对中...
HP:0025303	Episodic	不规则复发的	Applied to a sign, symptom, or other manifestation that occurs multiple times at usually irregular intervals. The occurences are separated by an interval in which the sign, symptom, or manifestation is not present.	校对中...
HP:0025304	Periodic	周期性的	Applies to a sign, symptom, or other manifestation that recurs with a fixed time interval, i.e., the symptom-free periods are always of the same length.	校对中...
HP:0025305	Quotidian	隔日	Applies to a sign, symptom, or other manifestation that is episodic with a fixed time interval of one day (24 hours).	校对中...
HP:0025306	Acute emergence over minutes	数分钟内急性发作	Acute appearance of disease manifestations in a period of minutes.	校对中...
HP:0025307	Acute emergence over hours	数小时内急性发作	Acute appearance of disease manifestations in a period of hours.	校对中...
HP:0025308	Acute emergence over days	数日内急性发作	Acute appearance of disease manifestations in a period of days.	校对中...
HP:0025309	Abnormal pupil shape	瞳孔形状异常	A deviation from the normal circular shape of the pupil	校对中...
HP:0025310	Oval pupil	椭圆形瞳孔	An abnormal pupil shape that is elliptical, i.e., egg-like.	校对中...
HP:0025311	Anterior chamber cyst	前房囊肿	A closed sac, having a distinct membrane and division compared to the nearby tissue located within the anterior chamber. The sac that may contain air, fluids, or semi-solid material.	校对中...
HP:0025312	Esophoria	内隐斜	A form of strabismus with both eyes turned inward to a relatively mild degree, usually defined as less than 10 prism diopters.	校对中...
HP:0025313	Exophoria	外隐斜	A form of strabismus with one or both eyes deviated outward to a milder degree than with exotropia.	校对中...
HP:0025314	Choroidal nevus	脉络膜痣	A benign, flat or slightly elevated melanocytic lesions of the posterior uveawith clearly defined margins. Choroidal nevi tend they remain stable in size, and to display features such as overlying drusen as well as retinal pigment epithelial atrophy, hyperplasia or fibrous metaplasia.	校对中...
HP:0025315	Exacerbated by head trauma	因头部外伤而加重	Applies to a sign or symptom that is worsened, aggravated, or exacerbated by head trauma.	校对中...
HP:0025317	Cubitus varus	肘内翻	A deformity of the elbow in which there is a deviation of the forearm toward the midline of the body.	校对中...
HP:0025318	Ovarian carcinoma	卵巢癌	A malignant neoplasm originating from the surface ovarian epithelium.	校对中...
HP:0025319	Rubeosis iridis	虹膜新生血管丛	Formation of new blood vessels on the iris. The new vessels do not display the typical radially symmertic growth pattern of normal iris blood vessels, but rather appear disorganized. Rubeosis usually starts from the pupillary border with tiny tufts of dilated capillaries or red spots that can only be appreciated with high magnification.	校对中...
HP:0025320	Leakage of dye on fundus fluorescein angiography	眼底荧光造影荧光素渗漏	Leakage of fluorescein dye observed upon retinal fluorescein angiography. Areas of leakage can be appreciated as showing gradual enlargement with blurring of margins.	校对中...
HP:0025321	Copper accumulation in liver	肝内铜沉积	An anomalous build up of copper (Cu) in the liver.	校对中...
HP:0025322	Venous occlusion	静脉闭塞	Blockage of venous return (flow of blood from the periphery back towards the right atrium) in a vein.	校对中...
HP:0025323	Abnormal arterial physiology	异常动脉生理学	An anomaly of arterial function.	校对中...
HP:0025324	Arterial occlusion	动脉闭塞	Blockage of blood flow through an artery.	校对中...
HP:0025325	Sparse medial eyebrow	内侧眉毛稀疏	Decreased density/number and/or decreased diameter of medial eyebrow hairs.	校对中...
HP:0025326	Retinal arterial occlusion	视网膜动脉阻塞	Blockage of the retinal artery, generally associated with interruption of blood flow and oxygen delivery to the retina.	校对中...
HP:0025327	Decreased renal parenchymal thickness	肾皮质厚度变薄	Reduced dimension of the solid part of the kidney (parenchyma, the renal cortex and medulla) as measured from the collecting system (renal calyces and pelvis) to the border of the kidney. This measurement can be performed by measuring the thickness of the parenchyma in computed tomography scans.	校对中...
HP:0025328	Antepartum hemorrhage	产前出血	Significant maternal hemorrhage/bleed in the second half of pregnancy and prior to the birth of the baby.	校对中...
HP:0025329	Anti-glutamic acid decarboxylase antibody positivity	抗谷氨酸脱羧酶抗体阳性	The presence of autoantibodies (immunoglobulins) in the serum that react against glutamic acid decarboxylase.	校对中...
HP:0025330	Downgaze palsy	向下凝视麻痹	A limitation of the ability to direct one's gaze below the horizontal meridian.	校对中...
HP:0025331	Upgaze palsy	向上凝视麻痹	A limitation of the ability to direct one's gaze above the horizontal meridian.	校对中...
HP:0025332	Abnormality of foot cortical bone	足皮质骨异常	An anomaly of the outer shell (cortex) of a foot bone.	校对中...
HP:0025333	Cortical thinning of foot bones	足骨皮质变薄	A reduction in the thickness of the outer shell (cortex) of foot bones.	校对中...
HP:0025334	Triggered by emotion	情绪引发	Applies to a sign or symptom that is provoked or brought about by a strong spontaneously arising mental state, reaction or feeling (emotion).	校对中...
HP:0025335	Delayed ability to stand	站立能力延迟	A failure to achieve the ability to stand up at an appropriate developmental stage. Most children begin to walk alone at 11 to 15 months of age. On average, children can stand while holding on at the age of 9 to 10 months, can pull up to stand and walk with one hand being held at 12 months, and can stand alone and walk well at 18 months.	校对中...
HP:0025336	Delayed ability to sit	独坐能力延迟	A failure to achieve the ability to sit at an appropriate developmental stage. Most children sit with support at 6 months of age and sit steadily without support at 9 months of age.	校对中...
HP:0025337	Red eye	红眼	A reddish appearance over the white part (sclera) of the eye ranging from a few enlarged blood vessels appearing as wiggly lines over the sclera to a bright red color completely covering to sclera.	校对中...
HP:0025338	Circumlimbal hyperemia	睫状充血（又称角膜周围充血）	A ring of redness at the limbus of the eye, the border between the cornea and the sclera.	校对中...
HP:0025339	Superficial episcleral hyperemia	浅层巩膜充血	Prominence of blood vessels of the superficial episcleral tissues.	校对中...
HP:0025340	Deep episcleral hyperemia	深层巩膜充血	Prominence of blood vessels of the deep episcleral tissues.	校对中...
HP:0025341	Corneal keratic precipitates	角膜后沉着物	An inflammatory cellular deposit deposited on the corneal endothelium and visible as spots on the cornea.	校对中...
HP:0025342	Central retinal artery occlusion	视网膜中央动脉闭塞	Blockage of the main artery in the retina. The typical presentation is one of profound monocular visual loss.	校对中...
HP:0025343	Lupus anticoagulant	狼疮抗凝剂	Presence of lupus anticoagulant (LA) autoantibodies. LA represent a heterogeneous group of autoantibodies, IgG, IgM, or a mixture of both classes, that interfere with standard phospholipid-based coagulant tests (this is only an in vitro phenomenon, LA do not cause reduction of coagulation in vivo). The antibodies are directed against plasma proteins which also bind to phospholipid surfaces.	校对中...
HP:0025344	Interlobular bile duct destruction	小叶间胆道破坏	Damage to and obliteration of intrahepatic bile ducts (bile ducts that transport bile between the Canals of Hering and the interlobar bile ducts).	校对中...
HP:0025345	Abnormality of circulating beta-2-microglobulin level	循环β2-微球蛋白水平异常	A deviation from the normal concentration of beta-2-microglobulin in the blood.	校对中...
HP:0025346	Increased circulating beta-2-microglobulin level	循环β2-微球蛋白水平增高	Elevated concentration of beta-2-microglobulin in the blood.	校对中...
HP:0025347	Decreased circulating beta-2-microglobulin level	循环β2-微球蛋白水平降低	Reduced concentration of beta-2-microglobulin in the blood.	校对中...
HP:0025348	Abnormality of the corneal limbus	角膜缘异常	An anomaly of the margin of the cornea overlapped by the sclera.	校对中...
HP:0025349	Limbal edema	角膜缘水肿	Swelling of the margin of the cornea overlapped by the sclera.	校对中...
HP:0025350	Giant conjunctival papillae	巨大结膜乳头	Conjunctival papillae with a diameter greater than 1 millimeter. They characteristically have flattened tops which sometimes demonstrate staining with fluorescein.	校对中...
HP:0025351	Recurrent interdigital mycosis	复发性指（趾）间真菌病	A history of repeated fungal infections located between the fingers or toes, usually manifested by scaling, maceration, and itching. The toes are more commonly affected than the fingers.	校对中...
HP:0025352	Autosomal dominant germline de novo mutation	常染色体显性胚系新生突变	Being related to a mutation that gamete that participates in fertilization. All cells of the emerging organism will be affected and the variant canl be passed on to the next generation.	校对中...
HP:0025353	Anti-multiple nuclear dots antibody positivity	抗多核抗体阳性	A type of antinuclear antibody (ANA) positivity revealed by indirect immunofluorescence (IFL). The multiple nuclear dots (MND) pattern is immunomorphologically characterized by the staining of 3-20 dots of variable size distributed all over the cell nucleus, but sparing the nucleoli, and, in contrast to the anticentromere pattern, MND reactivity does not stain the chromosomes in mitotic cells.	校对中...
HP:0025354	Abnormal cellular phenotype	细胞表型异常	An anomaly of cellular morphology or physiology.	校对中...
HP:0025355	Retinal arterial macroaneurysms	视网膜大动脉瘤	Acquired focal dilatations of branches of the retinal artery, usually second-order retinal arterioles, that range in size from 100 to 200 micrometers in diameter. Macroaneurysms are generally located at the termporal retina and may be hemorrhagic or exudative.	校对中...
HP:0025356	Psychomotor retardation	精神运动发育迟缓		
HP:0025357	Erratic myoclonus	不规则肌阵挛	A type of myoclonus in which the myoclonias shift from body region to another in a random and asynchronous fashion. Erratic myoclonus can affect the face or limbs, are brief, single or repetitive, very frequent and nearly continuous.	校对中...
HP:0025358	Uveal ectropion	葡萄膜外翻	Presence of iris pigment epithelium on the anterior surface of the iris.	校对中...
HP:0025359	Polygonal renal calices	多边形肾盏	An abnormal polygonal shape of the calices of the kidney (which normally have a rounded or cup-shaped appearance).	校对中...
HP:0025360	Polycalycosis	多肾盏畸形	Increased number of calices of the kidney.	校对中...
HP:0025361	Abnormality of medullary pyramid morphology	髓锥体形态异常	A structural anomaly of the pyramid of the adult kidney, cone-shaped structures with a broad base adjacent to the renal cortex and the narrow apex that is termed papilla.	校对中...
HP:0025362	Renal medullary pyramid hypoplasia	肾髓锥体发育不全	Undergrowth of the pyramid of the adult kidney, cone-shaped structures with a broad base adjacent to the renal cortex and the narrow apex that is termed papilla.	校对中...
HP:0025363	Glomerular endocapillary hypercellularity	肾小球毛细血管内细胞增生	Hypercellularity due to increased number of cells within glomerular capillary lumina, causing narrowing of the lumina.	校对中...
HP:0025364	Glomerular extracapillary hypercellularity	肾小球毛细血管外细胞增生	Hypercellularity (increased number of cells) in the renal glomerulus but external to the glomerular capillaries, i.e., in the Bowman space or more than one layer of parietal or visceral epithelial cells.	校对中...
HP:0025367	Trichoepithelioma	毛发上皮瘤	A benign hair follicle tumor whose tumor cells form rudimentary hair follicles but not actual hair shafts. A trichoepithelioma is usually less than one centimeter, firm, round, and shihy with yellow, pink, brown, or bluish color. They may occur multiply, usually on the face, and may gradually increase in number with age.	校对中...
HP:0025368	Abnormality of growth plate morphology	生长板形态异常	A structural anomaly of the growth plates (epiphyseal plates), areas of cartilage located near the ends of long bones that are located between the metaphysis (widened part of the shaft of the bone) and the epiphysis (end of the bone) and in which growth occurs in the developing bone. After conclusion of bone growth, the growth plates ossify (harden into solid bone).	校对中...
HP:0025369	Thick growth plates	生长板增厚	Increased thickness (dimension along the axis of the bone) of the growth plate.	校对中...
HP:0025370	Abnormal ossification of the sacrum	骶骨骨化异常	Abnormal bone tissue formation (ossification) affecting the sacrum.	校对中...
HP:0025371	Delayed ossification of the sacrum	骶骨骨化延迟	Formation of the sacrum bone tissue occurs later than age-adjusted norms.	校对中...
HP:0025372	Loud snoring	鼾声大	Particularly loud snoring, snoring at high volume.	校对中...
HP:0025373	Interictal EEG abnormality	发作间期脑电图异常	Interictal refers to a period of time between epileptic seizures. Electroencephalographic (EEG) patterns are important in the differential diagnosis of epilepsy, and the EEG is almost always abnormal during a seizure. Some persons with seizures may show EEG abnormalities between seizures, while others do not. In some cases, multiple interictal EEGs must be recorded before an abnormality is observed. In most cases the electrographic pattern of seizure onset is completely different from the activity recorded during interictal discharge.	校对中...
HP:0025374	Duplicated odontoid process	齿状突重复	The presence of two distinct odontoid processes. The odontoid process, also known as the dens of the axis, is a protuberance of the C2 vertebral body around which the first vertebra rotates.	校对中...
HP:0025375	Orthotopic os odontoideum	原位齿突骨	Os odontoideum is classified into two anatomic types (orthotopic and dystopic). Os odontoideum is defined as an ossicle that consists of smooth and separate caudal portions of the odontoid process.With dystopic os odontoideum, the ossicle is located near the basion or is fused with the clivus.	校对中...
HP:0025376	Hyperglutaminuria	高谷氨酰胺尿症	An increased concentration of glutamine in the urine.	校对中...
HP:0025377	Triggered by exertion	用力引发	Applies to a sign or symptom that is provoked or brought about by exertion or physical exercise.	校对中...
HP:0025379	Anti-thyroid peroxidase antibody positivity	抗甲状腺过氧化物酶抗体阳性	The presence of autoantibodies (immunoglobulins) in the serum that react against thyroid peroxidase.	校对中...
HP:0025380	Increased circulating androstenedione concentration	血液雄烯二酮升高	Increased concentration of androstenedione in the blood circulation.	校对中...
HP:0025381	Anti-pituitary antibody positivity	抗垂体抗体阳性	Circulating antipituitary antibodies (APA) are markers of autoimmune hypophysitis, which may cause deficient pituitary function.	校对中...
HP:0025382	Hypodipsia	渴感减退	Reduced fluid intake (drinking) in a clinical situation where the plasma molarity or sodium concentration normally would induce greater fluid intake.	校对中...
HP:0025383	Dorsocervical fat pad	颈背部脂肪垫	An area of fat accumulation at the back of the neck in the form of a hump.	校对中...
HP:0025384	Diet-resistant subcutaneous adipose tissue	饮食抵抗性皮下脂肪组织	Areas of subcutanous fat tissue that are resistant to (do not respond as expected to) diet, life-style alteration, or bariatric surgery.	校对中...
HP:0025385	Diet-resistant subcutaneous adipose tissue below waist	腰部以下抗饮食性皮下脂肪组织	Areas of subcutanous fat tissue below the waist that are resistant to (do not respond as expected to) diet, life-style alteration, or bariatric surgery.	校对中...
HP:0025386	Bitemporal hollowing	双侧颞骨塌陷	Depression of profile in both temporal regions.	校对中...
HP:0025387	Pill-rolling tremor	搓丸样震颤	A type of resting tremor characterized by simultaneous rubbing movements of thumb and index fingers against each other.	校对中...
HP:0025388	Thyroid nodule	甲状腺结节	A nodular lesion that develops in the thyroid gland. The term "thyroid nodule" refers to any abnormal growth that forms a lump in the thyroid gland.	校对中...
HP:0025389	Pulmonary interstitial high-resolution computed tomography abnormality	肺间质高分辨率计算机断层扫描异常	High-resolution computed tomography (HRCT) can distinguish findings that characterize characterise interstitial lung diseases in a way not possible with other modalities.	校对中...
HP:0025390	Reticular pattern on pulmonary HRCT	肺部HRCT可见网状结构	On pulmonary high-resolution computed tomography, reticular pattern is characterised by innumerable interlacing shadows suggesting a mesh.	校对中...
HP:0025391	Crazy paving pattern	肺部HRCT可见铺石路状结构	The so-called crazy paving pattern is characterised on HRCT by the presence of thickened interlobular septae and intralobular lines superimposed on a background of ground-glass opacity, resembling irregularly shaped paving stones.	校对中...
HP:0025392	Nodular pattern on pulmonary HRCT	HRCT可见肺部结节状结构	A nodular pattern is characterised on pulmonary high-resolution computed tomography by the presence of numerous rounded opacities that range from 2 mm to 1 cm in diameter, with micronodules defined as smaller than 3 mm in diameter.	校对中...
HP:0025393	Reticulonodular pattern on pulmonary HRCT	肺部HRCT可见网状结节状结构	Co-occurrence of reticular and micronodular patterns on pulmonary high-resolution computed tomography.	校对中...
HP:0025394	Cystic pattern on pulmonary HRCT	肺部HRCT可见囊状结构	On pulmonary high-resolution computed tomography, the cystic pattern is composed by well-defined, round and circumscribed air-containing parenchymal spaces with a well-defined wall and interface with normal lung. The wall of the cysts may be uniform or varied in thickness, but usually is thin (less than 2 mm) and occurs without associated emphysema.	校对中...
HP:0025395	Combined cystic and ground-glass pattern on pulmonary HRCT	肺部HRCT可见囊状与毛玻璃样结构	Co-occurrence of the cystic pattern and the ground-glass pattern on pulmonary high-resolution computed tomography,	校对中...
HP:0025396	Decreased attenuation pattern on pulmonary HRCT	肺部HRCT可见低密度区	Areas of low density corresponding to parenchymal destruction and reduced perfusion, and attenuation of the pulmonary vasculature, as visualized on pulmonary high-resolution computed tomography.	校对中...
HP:0025397	Mosaic attenuation pattern on pulmonary HRCT	肺部HRCT可见马赛克低密度区	A patchwork of intermingled areas of increased and decreased attenuation visualized on pulmonary high-resolution computed tomography.	校对中...
HP:0025398	Nodular-perilymphatic pattern on pulmonary HRCT	肺部HRCT可见淋巴管周围结节状结构	A nodular pattern on pulmonary high-resolution computed tomography that has a perilymphatic distribution.	校对中...
HP:0025399	Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT	肺部HRCT可见肺部小叶中心性结节呈树芽征	A nodular pattern on pulmonary high-resolution computed tomography that displays a tree-in-bud pattern, representing centrilobular branching structures that resemble a budding tree.	校对中...
HP:0025400	Nodular-random pattern on pulmonary HRCT	肺部HRCT可见随机结节状结构	A nodular pattern on pulmonary high-resolution computed tomography that has an apparently random pattern.	校对中...
HP:0025401	Staring gaze	凝视	An abnormality in which the eyes are held permanently wide open.	校对中...
HP:0025402	Square-wave jerks	方波急跳	Square wave jerks are saccadic eye movements which, when recorded with open eyes are considered to be a pathological sign, caused by fixation instability, and pointing to a central neurological lesion.	校对中...
HP:0025403	Stooped posture	弯腰姿势	A habitual positioning of the body with the head and upper back bent forward.	校对中...
HP:0025404	Abnormal visual fixation	注视异常	Any anomaly in the process of ocular fixation, which is the maintaining of the visual gaze on a single location.	校对中...
HP:0025405	Visual fixation instability	固视不稳定	A deficit in the ability to fixate eye movements in order to stabilize images on the retina	校对中...
HP:0025406	Asthenia	虚弱	A state characterized by a feeling of weakness and loss of strength leading to a generalized weakness of the body.	校对中...
HP:0025407	Rectourethral fistula	直肠尿道瘘	An abnormal connection (fistula) between the rectum and the urethra.	校对中...
HP:0025408	Abnormal spleen morphology	脾脏形态异常	Any anomaly of the structure of the spleen.	校对中...
HP:0025409	Abnormal spleen physiology	脾脏生理功能异常	Any anomaly of the function of the spleen.	校对中...
HP:0025410	Splenogonadal fusion	脾-性腺融合	Joining of the spleen and a gonad during embryological development.	校对中...
HP:0025413	Fossa navicularis urethral stricture	尿道舟状窝狭窄	A type of urethral stricture affecting the fossa navicularis, which is the spongy part of the male urethra located at the glans penis.	校对中...
HP:0025414	Pendulous urethral stricture	尿道悬垂部狭窄	A type of urethral stricture affecting the pendulous urethra, which is straight and fixed to the corpora cavernosa.	校对中...
HP:0025415	Bulbar urethral stricture	球尿道狭窄	A type of urethral stricture affecting the bulbar urethra, which is the part of the urethra that traverses the root of the penis.	校对中...
HP:0025416	Vaginal stricture	阴道狭窄	A narrowing of the vagina owing to scar formation.	校对中...
HP:0025417	Patulous urethra	尿道扩张	Urethra more open or expanded than normal.	校对中...
HP:0025418	Renal cortical necrosis	肾皮质坏死	Patchy or diffuse ischemic destruction of all the elements of renal cortex resulting from significantly diminished renal arterial perfusion. Coagulative necrosis may be present, involving all tubular segments and glomeruli. Nuclei may be pale and pyknotic, or may no longer be apparent. Thrombi may be present in vessels at the edge of the infarct.	校对中...
HP:0025419	Pulmonary pneumatocele	肺气肿	A pneumatocele is a thin walled, gas-filled space in the lung. It is most frequently caused by acute pneumonia, trauma, or aspiration of hydrocarbon fluid and is usually transient. The mechanism is believed to be a combination of parenchymal necrosis and check-valve airway obstruction. A pneumatocele appears as an approximately round, thin-walled airspace in the lung.	校对中...
HP:0025420	Diffuse alveolar hemorrhage	弥漫性肺泡出血	A type of of pulmonary hemorrhage that originates from the pulmonary microcirculation, including the alveolar capillaries, arterioles, and venules. It presents with hemoptysis, anemia, diffuse lung infiltration, and acute respiratory failure. The diagnosis is confirmed by the observation of the accumulation of red blood cells, fibrin, or hemosiderin-laden macrophage in the alveolar space on pathologic biopsy. Hemosiderin, a product of hemoglobin degradation, appears at least 48-72 hours after bleeding and is helpful in distinguishing diffuse alveolar hemorrhage from surgical trauma. Mild interstitial thickening, organizing pneumonia, or diffuse alveolar damage can also be seen.	校对中...
HP:0025421	Pneumomediastinum	纵隔气肿	The presence of free air in the mediastinum.	校对中...
HP:0025422	Pleural cyst	胸膜囊肿	A closed sac-like structure originating from the pleura that contains a liquid, gaseous, or semisolid substance.	校对中...
HP:0025423	Abnormal larynx morphology	喉部形态异常	Any anomaly of the structure of the larynx.	校对中...
HP:0025424	Abnormal larynx physiology	喉部生理异常	Any anomaly of the function of the larynx.	校对中...
HP:0025425	Laryngospasm	喉痉挛	A spasm (involuntary contraction) of the vocal cords that can make it difficult to speak or breathe.	校对中...
HP:0025426	Abnormal bronchus morphology	支气管形态异常	Any structural anomaly of the bronchi, i.e., of the airways leading from the trachea to the lungs.	校对中...
HP:0025427	Abnormal bronchus physiology	支气管异常生理学	Any anomaly of the function of the bronchi.	校对中...
HP:0025428	Bronchospasm	支气管痉挛	A spasm (sudden, involuntary constriction) of the bronchioles.	校对中...
HP:0025429	Abnormal cry	哭声异常	Any anomaly of the vocalizing of an infant's crying, i.e.,the typically loud voice production that is accompanied by tears and agitation.	校对中...
HP:0025430	High-pitched cry	高调哭声	A type of crying in an abnormally high-pitched voice.	校对中...
HP:0025431	Staccato cry	断续的哭	A type of cry that is abnormal because it is consists of unusually shortened and detached vocalizations.	校对中...
HP:0025432	Acanthoma	棘皮瘤	A benign epithelial skin tumor manifesting as a slightly elevated circular plaque or nodule with a red, pink or brown color and a diameter up to 22 mm.	校对中...
HP:0025433	Decreased lecithin cholesterol acyl transferase level	卵磷脂-胆固醇酰基转移酶活性降低	Reduced level of the enzyme lecithin cholesterol acyl transferase.	校对中...
HP:0025434	Reduced hemolytic complement activity	溶血补体活性减弱	A diminished activity of the classical complement pathway as measured by the assay for 50% haemolytic complement (CH50) activity of serum.	校对中...
HP:0025435	Increased circulating lactate dehydrogenase concentration	乳酸脱氢酶活性增高	An elevated level of the enzyme lactate dehydrogenase in the blood circulation.	校对中...
HP:0025436	Elevated serum 11-deoxycortisol	血清11-脱氧皮质醇升高	Increased concentration of 11-deoxycortisol in the circulation. 11-deoxycorticosterone, which is also known as simply deoxycorticosterone and 21-hydroxyprogesterone, is a steroid hormore that is produces in the adrenals and is a precursor to aldosterone.	校对中...
HP:0025437	Macrocephalic sperm head	大头精子	Increased size of the head of sperm.	校对中...
HP:0025439	Pharyngitis	咽炎	Inflammation (due to infection or irritation) of the pharynx.	校对中...
HP:0025440	Warm reactive autoantibody positivity	温反应自身抗体阳性	Warm reactive autoantibodies are RBC-directed immune responses that are maximally reactive at 37 degrees C.	校对中...
